ID,Team name,Team composition - size,Team composition - individual expertise,Team composition - team expertise,Team composition - group culture,Team composition - leadership styles (1),Team composition - leadership styles (consult),Team composition - team member relations,Communication - multilingual team,Communication - common language,Communication - impact of language,Distribution,Information - form (Design artifacts),Information - form (process knowledge),Nature of problem - equal contribution,Information - ownership,Nature of problem - coupling of sub-tasks,Nature of problem - Individual exploration,Nature of problem - Co-exploration
1,Team 1,2,3,2,4,5,3,4,1,1,1,3,4,2,2,4,3,4,4
2,Team 1,4,2,2,2,5,4,4,1,1,1,2,4,2,4,4,3,5,4
3,Team 1,2,1,3,4,5,4,2,1,1,1,3,4,4,5,5,4,4,3
4,Team 2,3,3,4,4,1,0,5,5,5,2,3,2,4,2,3,3,5,4
5,Team 2,3,3,4,5,1,0,5,5,4,1,2.5,5,5,3,4,3,3,4
6,Team 2,3,3,4,5,1,0,5,5,1,2,4,5,4,3,5,4,3,4
39,Team 2,3,2,4,5,1,0,4,5,5,2,4,4,4,3,3,4,3,4
7,Team 3,3,3,3,4,1,0,4,5,1,4,4,4,4,2,3,2,4,4
8,Team 3,3,4,4,5,1,0,5,5,5,4,2,4,3,3,4,3,4,3
9,Team 3,4,3,5,4,1,0,4,5,5,2,3,4,3,3,4,3,4,4
10,Team 3,4,3,5,5,3,0.5,5,5,1,2,3,4,4,3,5,3,4,5
11,Team 4,3,2,4,4,1,0,4,1,1,2,4,4,4,3,3,4,4,4
12,Team 4,3,3,4,5,5,1,4,1,1,1,3,4,3,2,4,4,4,3
13,Team 4,3,3,4,5,1,0,5,1,1,1,4,4,3,3,4,4,4,4
14,Team 4,3,2,5,4,1,0,5,1,1,1,2,3,5,3,3,4,3,3
15,Team 5,2,4,3,5,5,3,4,5,1,2,2.5,4,4,4,4,4,4,3
16,Team 5,2,3,4,4,5,1,4,5,4,2,3,4,3,3,4,3,3,4
17,Team 5,2,3,4,4,1,0,4,5,5,1,3,4,4,3,5,3,4,4
18,Team 6,1,3,4,3,5,5,2,5,5,1,2,2,4,2,2,1,3,4
19,Team 6,3,4,4,4,3,0.5,4,5,1,1,3,4,4,4,4,2,4,3
20,Team 6,1,2,4,5,1,0,4,5,5,1,3,4,2,3,3,4,5,4
21,Team 7,3,5,2,4,5,3,3,1,1,1,2,5,2,4,4,1,4,2
22,Team 7,2,3,3,4,5,1,3,1,1,1,2.5,3,3,3,4,2,5,4
23,Team 7,2,2,3,4,1,0,3,1,1,1,2,3,3,3,3,1.5,4,4
24,Team 8,2,3,4,4,5,1,4,5,4,1,3,4,5,4,4,3,4,3
25,Team 8,4,3,5,3,5,3,4,5,1,2,3,3,4,3,4,2,4,3
26,Team 8,2,3,4,3,1,0,4,5,4,1,4,5,5,3,4,4,4,4
27,Team 8,2,4,3,5,1,0,4,5,1,1,2,4,4,4,5,4,5,3
28,Team 9,2,3,3,3,5,1,3,5,1,1,2,2,4,4,4,3,3,4
29,Team 9,2,3,3,3,1,0,3,5,1,1,2,4,4,4,4,2,4,4
30,Team 9,2,3,2,4,1,0,3,5,1,2,1,4,3,4,4,3,4,3
31,Team 10,4,3,3,5,5,3,3,5,1,2,3,4,5,4,5,3,2,4
32,Team 10,2,3,2,4,1,0,3,5,5,1,3,4,3,4,4,3,5,4
33,Team 10,2,3,2,4,1,0,4,5,4,1,1,2,3,3,4,2,5,3
34,Team 10,2,3,3,1,5,2,3,5,1,2,4,4,4,4,4,2,4,3
35,Team 11,2,3,4,3,1,0,4,1,1,1,4,4,2,2,4,4,3,4
36,Team 11,3,4,5,5,1,0,4,1,1,1,1,5,4,4,5,2,5,4
37,Team 11,3,4,4,4,3,0.5,5,1,1,1,2.5,3,4,3,5,2,4,4
38,Team 11,4,2,3,3,1,0,2,1,1,1,2.5,2,3,3,2,2,4,3
40,Team 12,2,5,1,1,1,0,2,5,5,2,1,3,3,5,4,4,4,3
41,Team 12,2,5,2,2,1,0,1,5,5,2,4,2,3,4,3,2,4,3
42,Team 12,2,4,2,3,5,2,2,5,1,1,1,4,4,4,5,3,4,3
43,Team 12,5,2,3,1,5,5,2,5,1,3,1,2,5,2,2,2,5,3
44,Team 13,3,3,4,3,1,0,4,1,1,1,4,3,3,2,4,3,2,4
45,Team 13,3,3,3,5,5,3,4,1,1,1,3,5,5,3,2,3,4,4
46,Team 13,3,3,5,4,5,3,4,1,1,1,3,5,4,3,4,3,4,4
51,Team 13,3,3,4,5,1,0,4,1,1,1,3,3,4,3,4,3,3,5
47,Team 14,3,3,4,4,1,0,4,5,5,2,3,3,4,4,4,3,3,4
48,Team 14,2,3,3,4,5,3,4,5,1,2,3,2,3,3,3,3,3,3
49,Team 14,3,3,2,4,5,3,3,5,1,1,2,3,5,4,4,4,4,4
50,Team 14,2,2,3,4,5,3,4,5,1,1,2,2,4,3,5,2,4,2
52,Team 15,3,2,4,5,1,0,4,5,1,1,4,4,5,4,5,1,2,4
53,Team 15,3,3,4,5,1,0,5,5,1,1,4,4,5,4,4,4,3,5
54,Team 15,3,3,4,4,1,0,5,5,1,1,3,5,5,3,5,4,3,4
55,Team 15,3,2,4,5,1,0,5,5,1,1,3,5,5,3,4,3,3,5
56,Team 16,4,4,3,5,1,0,4,5,1,2,3,5,5,3,3,3,4,3
57,Team 16,3,3,4,4,1,0,4,5,1,2,4,4,4,3,3,3,4,4
58,Team 16,2,4,2,5,1,0,4,5,4,2,1,4,5,4,5,3,4,3
59,Team 16,4,4,4,5,5,3,4,5,1,5,2.5,3,2,3,3,3,3,4